,Step,AE_Keys,mean,std
106,28000,rgb + obj,4.094029221373299,0.2911978052721874
107,28000,rgb + obj_encoding_only,4.05189023160686,0.22867231108952588
108,29000,obj,3.0288345385342836,6.0432560951652126e-05
109,29000,rgb,3.994967034893732,0.35627463120737074
110,29000,rgb + obj,3.9989144200459124,0.25887754012854575
111,29000,rgb + obj_encoding_only,3.9552554005756972,0.23904912669016723
112,30000,obj,2.950975216863056,0.00023023808997087348
113,30000,rgb,3.8980130215485893,0.350447969489023
114,30000,rgb + obj,3.9209113140900933,0.25697434469195735
115,30000,rgb + obj_encoding_only,3.90504894455274,0.22951808524436623
116,31000,obj,2.923242885557314,0.00024673641706940956
117,31000,rgb,3.86853783596307,0.37098561022971516
118,31000,rgb + obj,3.8901088363801435,0.2948183036632099
119,31000,rgb + obj_encoding_only,3.8610017743582525,0.23118783684643104
120,32000,obj,2.8850522695730128,7.520680801965525e-05
121,32000,rgb,3.812069389410317,0.25135096204145063
122,32000,rgb + obj,3.825400834468504,0.21830183208536322
123,32000,rgb + obj_encoding_only,3.789384847072263,0.1994243048867071
124,33000,obj,2.8293786561116576,0.0003890315862335372
125,33000,rgb,3.7592739565918847,0.4023846014400818
126,33000,rgb + obj,3.78165678816537,0.25310263681441103
127,33000,rgb + obj_encoding_only,3.749048946673671,0.24206595370734424
128,34000,obj,2.81643640032659,0.0002695670136211143
129,34000,rgb,3.722610664305588,0.2522732250136503
130,34000,rgb + obj,3.7197751362497606,0.24644042614574505
131,34000,rgb + obj_encoding_only,3.693487516976893,0.25987948892673435
132,35000,obj,2.7674687127272284,0.0005105208840212039
133,35000,rgb,3.66997347480307,0.2511365972148939
134,35000,rgb + obj,3.683043772044281,0.3290522654280583
135,35000,rgb + obj_encoding_only,3.6718393068139754,0.31286762922277184
136,36000,obj,2.748757086880505,0.0003179273919792775
137,36000,rgb,3.640209361538291,0.18667947827304301
138,36000,rgb + obj,3.653692599758506,0.2561715545749181
139,36000,rgb + obj_encoding_only,3.632269482438763,0.25687582100565703
140,37000,obj,2.716380371277531,0.00047095393733012186
141,37000,rgb,3.5910648276408517,0.16109535121312604
142,37000,rgb + obj,3.5989026317993806,0.21519237221728776
143,37000,rgb + obj_encoding_only,3.5737025827169417,0.28829247630197924
144,38000,obj,2.6758345053220784,0.0002488850890694507
145,38000,rgb,3.541793838702142,0.17532372343950406
146,38000,rgb + obj,3.556692202451328,0.2569780331960276
147,38000,rgb + obj_encoding_only,3.5245685414100683,0.28486968872372154
148,39000,obj,2.6338067916532357,0.0004851986429447295
149,39000,rgb,3.5062592895701528,0.16293513701767276
150,39000,rgb + obj,3.5127809278046085,0.2352405145127717
151,39000,rgb + obj_encoding_only,3.4818187467133,0.2664934731918879
152,40000,obj,2.614685970668991,0.0004849192872153961
153,40000,rgb,3.456552901801963,0.1541420743354668
154,40000,rgb + obj,3.4516466607029237,0.2334982413709348
155,40000,rgb + obj_encoding_only,3.429972663459678,0.2751031748924318
156,41000,obj,2.5713028502961,0.0004232522650277952
157,41000,rgb,3.40786480139941,0.12314838811829645
158,41000,rgb + obj,3.4288560631995404,0.22601336686025245
159,41000,rgb + obj_encoding_only,3.403947631828487,0.3249800693378913
160,42000,obj,2.553072528106471,0.0005306888831621354
161,42000,rgb,3.376317250480254,0.13143042563183135
162,42000,rgb + obj,3.402076629549265,0.18134110578969956
163,42000,rgb + obj_encoding_only,3.374635461717844,0.2832009722490201
164,43000,obj,2.5319522676368558,0.0004157166529068317
165,43000,rgb,3.351877270142238,0.0939639976444949
166,43000,rgb + obj,3.3788971523443863,0.20925083912461492
167,43000,rgb + obj_encoding_only,3.346265755097071,0.3155407744223016
168,44000,obj,2.510706527158618,0.00031438701855831066
169,44000,rgb,3.3212718776116765,0.1149712850307512
170,44000,rgb + obj,3.3493386399000884,0.24102076592095972
171,44000,rgb + obj_encoding_only,3.3122975638757146,0.3234781433263949
172,45000,obj,2.482455605578919,0.0003892383597647452
173,45000,rgb,3.2851225109770894,0.07722879342233359
174,45000,rgb + obj,3.3043017438923323,0.21639984784365326
175,45000,rgb + obj_encoding_only,3.26398592510571,0.28167997814678825
176,46000,obj,2.4506499921903013,0.0005687375257402642
177,46000,rgb,3.245423200105628,0.11871123179190791
178,46000,rgb + obj,3.275507380937537,0.20169508208241219
179,46000,rgb + obj_encoding_only,3.2427343153705204,0.32651102003107096
180,47000,obj,2.4349407472958164,0.0005585162416132182
181,47000,rgb,3.221764899790287,0.09320143904546721
182,47000,rgb + obj,3.249650161961714,0.1643322420933144
183,47000,rgb + obj_encoding_only,3.2066606695453324,0.26506677234595516
