,Step,AE_Keys,mean,std
115,59000,rgb + obj,0.015451851921776932,0.001363231299627233
116,60000,obj,0.013718936095635095,0.00014243044128661232
117,60000,rgb + obj,0.01540958272914092,0.0014616912606885298
118,61000,obj,0.013565662503242492,8.67899126586783e-05
119,61000,rgb + obj,0.015285650578637917,0.0015418027930933094
120,62000,obj,0.013618325255811215,0.00013793992877893764
121,62000,rgb + obj,0.015280080835024518,0.0017290141377465456
122,63000,obj,0.013607000683744746,6.874249318230671e-05
123,63000,rgb + obj,0.015414915854732194,0.0014960171992632202
124,64000,obj,0.013685089660187564,0.00048084761412281116
125,64000,rgb + obj,0.015418694478770095,0.0017289761124114449
126,65000,obj,0.013710513028005758,0.00042470902969873815
127,65000,rgb + obj,0.015420032230516273,0.001206026079067089
128,66000,obj,0.013575965911149979,0.00047366237976988104
129,66000,rgb + obj,0.015249336697161197,0.001100950856113853
130,67000,obj,0.013476043070356051,0.0003551680372009214
131,67000,rgb + obj,0.01529572606086731,0.001346992163157565
132,68000,obj,0.013559136353433133,0.0005070584167602616
133,68000,rgb + obj,0.015360540772477787,0.0011378189575018212
134,69000,obj,0.013711325700084367,0.0006302668262190026
135,69000,rgb + obj,0.015502205428977806,0.0011081384067332936
136,70000,obj,0.01371764112263918,0.0007304312249080438
137,70000,rgb + obj,0.015516707052787144,0.0012064843042193557
138,71000,obj,0.01370395900060733,0.0006308075107855226
139,71000,rgb + obj,0.015426487041016419,0.0015740261655683733
140,72000,obj,0.013622760338087875,0.0006279567093464042
141,72000,rgb + obj,0.015474107551078,0.0013634686494510937
142,73000,obj,0.013718375501533348,0.0005819063583049968
143,73000,rgb + obj,0.015566163634260494,0.0013462650407195884
144,74000,obj,0.013805041400094828,0.000878633806914577
145,74000,rgb + obj,0.01568615095069011,0.001613553447290215
146,75000,obj,0.01386907131721576,0.0007096842758829531
147,75000,rgb + obj,0.015660093910992146,0.0016868230463482309
148,76000,obj,0.013852669422825179,0.0006785699046595466
149,76000,rgb + obj,0.015811573651929693,0.001146443156061053
150,77000,obj,0.014008692838251591,0.0007095067658346421
151,77000,rgb + obj,0.015883315789202847,0.0016766849211799376
152,78000,obj,0.014052629160384337,0.0006559822577030667
153,78000,rgb + obj,0.015980925286809604,0.0015540531784331262
154,79000,obj,0.014053389988839626,0.0007687104097425736
155,79000,rgb + obj,0.01605695579200983,0.0029122599208541247
156,80000,obj,0.014128314082821208,0.0007660304349762215
157,80000,rgb + obj,0.016011237849791842,0.0015324931052486425
158,81000,obj,0.014078404816488425,0.0009166381056743679
159,81000,rgb + obj,0.015963937466343243,0.0013416249942213713
160,82000,obj,0.013914014461139837,0.0005608032013427161
161,82000,rgb + obj,0.015843849629163742,0.0012770179799460317
162,83000,obj,0.013933130353689194,0.0007376214357172695
163,83000,rgb + obj,0.015847469183305898,0.0011415826374704906
164,84000,obj,0.013893013199170431,0.000496287013032557
165,84000,rgb + obj,0.01581608212242524,0.0010385291132361738
166,85000,obj,0.013831526972353458,0.0006919769920316131
167,85000,rgb + obj,0.015766330249607562,0.0013458718019868092
168,86000,obj,0.013780798390507698,0.0007084056263707159
169,86000,rgb + obj,0.015862259455025195,0.0014241781536948471
170,87000,obj,0.013878708456953368,0.0005396807615265095
171,87000,rgb + obj,0.01595342370371024,0.0015923669109556772
172,88000,obj,0.014046868433554969,0.0007161634977741807
173,88000,rgb + obj,0.016123476810753344,0.0010252830874225094
174,89000,obj,0.01403440690288941,0.0006835942721096226
175,89000,rgb + obj,0.016129030783971147,0.0010691492961123932
176,90000,obj,0.014067624509334565,0.0005975523958572511
177,90000,rgb + obj,0.016007525846362114,0.0008339776012916917
178,91000,obj,0.013934889870385329,0.0006005900327790716
179,91000,rgb + obj,0.01592345181852579,0.0012341992816738416
180,92000,obj,0.01381653044372797,0.0005550692996648313
181,92000,rgb + obj,0.015791706057886285,0.0011629196918357511
182,93000,obj,0.01377656732996305,0.0006278954631203523
183,93000,rgb + obj,0.015758287347853183,0.0014772229261128852
184,94000,obj,0.013758228222529095,0.0006573087649987054
185,94000,rgb + obj,0.015897020449241003,0.0010565478724054317
186,95000,obj,0.013897307217121124,0.0007590802729722575
187,95000,rgb + obj,0.015986479880909128,0.0010220127308303568
188,96000,obj,0.01400820054113865,0.0007583855682886401
189,96000,rgb + obj,0.016136783299346764,0.0011115165276245726
190,97000,obj,0.013999836581448714,0.0008866113477085251
191,97000,rgb + obj,0.016018756789465745,0.0013806618815160202
192,98000,obj,0.01393405565371116,0.0008063369501403185
193,98000,rgb + obj,0.015903568640351296,0.0009946035850252788
194,99000,obj,0.013794524036347866,0.0008472152927226219
195,99000,rgb + obj,0.01589276051769654,0.0008860243430200436
196,100000,obj,0.013875442494948705,0.0011478525195340603
197,100000,rgb + obj,0.01593285861114661,0.0009651436306660284
